Concept	Weighting
LENC_352	3303
LENC_353	3260
LENC_354	3249
LENC_355	3234
LENC_356	3233
LENC_357	3207
LENC_358	3204
LENC_359	3154
LENC_360	3099
LENC_361	3083
LENC_362	3048
LENC_363	3046
LENC_364	3040
LENC_365	3031
LENC_366	3007
LENC_367	2995
LENC_368	2992
LENC_369	2984
LENC_370	2944
LENC_371	2933
LENC_372	2923
LENC_373	2895
LENC_374	2894
LENC_375	2894
LENC_376	2893
LENC_377	2883
LENC_378	2831
LENC_379	2812
LENC_380	2790
LENC_381	2776
LENC_382	2757
LENC_383	2751
LENC_384	2741
LENC_385	2724
LENC_386	2718
LENC_387	2708
LENC_388	2691
LENC_389	2640
LENC_390	2630
LENC_391	2618
LENC_392	2613
LENC_393	2593
LENC_394	2571
LENC_395	2554
LENC_396	2547
LENC_397	2537
LENC_398	2521
LENC_399	2516
LENC_400	2507
LENC_401	2505
LENC_402	2499
LENC_403	2490
LENC_404	2456
LENC_405	2432
LENC_406	2395
LENC_407	2389
LENC_408	2384
LENC_409	2369
LENC_410	2333
LENC_411	2333
LENC_412	2325
LENC_413	2320
LENC_414	2310
LENC_415	2285
LENC_416	2263
LENC_417	2211
LENC_418	2197
LENC_419	2185
LENC_420	2156
LENC_421	2148
LENC_422	2133
LENC_423	2118
LENC_424	2116
LENC_425	2081
LENC_426	2069
LENC_427	2059
LENC_428	2058
LENC_429	2057
LENC_430	2028
LENC_431	2006
LENC_432	1992
LENC_433	1975
LENC_434	1959
LENC_435	1956
LENC_436	1953
LENC_437	1940
LENC_438	1930
LENC_439	1917
LENC_440	1905
LENC_441	1904
LENC_442	1889
LENC_443	1889
LENC_444	1864
LENC_445	1863
LENC_446	1862
LENC_447	1856
LENC_448	1844
LENC_449	1823
LENC_450	1798
LENC_451	1797
LENC_452	1793
LENC_453	1768
LENC_454	1764
LENC_455	1757
LENC_456	1751
LENC_457	1731
LENC_458	1727
LENC_459	1703
LENC_460	1681
LENC_461	1679
LENC_462	1662
LENC_463	1655
LENC_464	1652
LENC_465	1649
LENC_466	1649
LENC_467	1642
LENC_468	1632
LENC_469	1615
LENC_470	1612
LENC_471	1603
LENC_472	1585
LENC_473	1579
LENC_474	1574
LENC_475	1563
LENC_476	1556
LENC_477	1552
LENC_478	1545
LENC_479	1543
LENC_480	1527
LENC_481	1516
LENC_482	1510
LENC_483	1507
LENC_484	1506
LENC_485	1504
LENC_486	1497
LENC_487	1478
LENC_488	1456
LENC_489	1452
LENC_490	1450
LENC_491	1439
LENC_492	1438
LENC_493	1432
LENC_494	1425
LENC_495	1409
LENC_496	1405
LENC_497	1399
LENC_498	1371
LENC_499	1369
LENC_500	1356
LENC_501	1317
LENC_502	1292
LENC_503	1290
LENC_504	1285
LENC_505	1284
LENC_506	1269
LENC_507	1261
LENC_508	1242
LENC_509	1240
LENC_510	1240
LENC_511	1219
LENC_512	1215
LENC_513	1215
LENC_514	1209
LENC_515	1204
LENC_516	1195
LENC_517	1192
LENC_518	1183
LENC_519	1181
LENC_520	1177
LENC_521	1132
LENC_522	1104
LENC_523	1102
LENC_524	1092
LENC_525	1082
LENC_526	1081
LENC_527	1072
LENC_528	1063
LENC_529	1057
LENC_530	1057
LENC_531	1047
LENC_532	1043
LENC_533	1042
LENC_534	1037
LENC_535	1034
LENC_536	1033
LENC_537	1032
LENC_538	1027
LENC_539	1023
LENC_540	1021
LENC_541	1021
LENC_542	1013
LENC_543	1011
LENC_544	1011
LENC_545	1008
LENC_546	1005
LENC_547	1000
LENC_548	995
LENC_549	988
LENC_550	987
LENC_551	977
LENC_552	975
LENC_553	974
LENC_554	966
LENC_555	962
LENC_556	953
LENC_557	947
LENC_558	918
LENC_559	917
LENC_560	900
LENC_561	899
LENC_562	891
LENC_563	883
LENC_564	856
LENC_565	854
LENC_566	844
LENC_567	843
LENC_568	839
LENC_569	838
LENC_570	834
LENC_571	830
LENC_572	830
LENC_573	822
LENC_574	816
LENC_575	815
LENC_576	802
LENC_577	800
LENC_578	800
LENC_579	793
LENC_580	789
LENC_581	789
LENC_582	788
LENC_583	783
LENC_584	780
LENC_585	774
LENC_586	774
LENC_587	774
LENC_588	773
LENC_589	765
LENC_590	763
LENC_591	761
LENC_592	758
